Direction,Stop,Next Bus
Outbound,Silo & Center Island ,"35, 55m"
Outbound,La Rue & Orchard ,"35, 55m"
Outbound,Anderson & Russell ,"39, 59m"
Outbound,Anderson & Sunset ,"0, 40m"
Outbound,Anderson & Amherst ,"0, 40m"
Outbound,Anderson & Villanova ,"1, 41m"
Outbound,Anderson & Hanover ,"2, 42m"
Outbound,Alvarado & Anderson ,"3, 43m"
Outbound,Alvarado & Sycamore ,"4, 44m"
Outbound,Sycamore & Pepperwood Apts ,"5, 45m"
Outbound,Sycamore & Antelope ,"6, 46m"
Outbound,Sycamore & Chaparral Apts ,"7, 47m"
Inbound,North Sycamore Loop ,"8, 48m"
Inbound,Sycamore & Chaparral Apts ,"8, 48m"
Inbound,Sycamore & Antelope ,"8, 48m"
Inbound,Sycamore & Alvarado ,"9, 49m"
Inbound,Alvarado & Sycamore ,"9, 49m"
Inbound,Alvarado & Anderson ,"10, 50m"
Inbound,Anderson & Hanover ,"11, 51m"
Inbound,Anderson & Villanova ,"13, 53m"
Inbound,Anderson & Amherst ,"14, 54m"
Inbound,Anderson & Sunset ,"14, 54m"
Inbound,Anderson & Russell ,"15, 55m"
Inbound,La Rue & Orchard ,"16, 55m"
Inbound,Hutchison & Bioletti ,"17, 57m"
Inbound,Silo & Center Island ,"0, 20m"
