Direction,Stop,Next Bus
Clockwise,Memorial Union  & Main Island ,"4, 34m"
Clockwise,Russell & Sycamore ,"4, 34m"
Clockwise,Russell & Arthur ,"8, 38m"
Clockwise,Arlington & Bucklebury ,"9, 39m"
Clockwise,Arlington & Calaveras ,"10, 40m"
Clockwise,Arlington & Shasta ,"10, 40m"
Clockwise,Arlington & Cabot ,"11, 41m"
Clockwise,Arlington & Lake ,"11, 41m"
Clockwise,Lake & Wood Circle ,"12, 42m"
Clockwise,Lake & Covell ,"13, 43m"
Clockwise,Covell & West Bike Path ,"14, 44m"
Clockwise,Covell & Denali ,"14, 44m"
Clockwise,Covell & Shasta ,"15, 45m"
Clockwise,Covell & Sycamore ,"16, 46m"
Clockwise,Anderson & Hanover ,"18, 48m"
Clockwise,Villanova & Anderson ,"20, 50m"
Clockwise,14th & Oak ,"21, 51m"
Clockwise,14th & B ,"22, 52m"
Clockwise,F & 14th ,"23, 53m"
Clockwise,F & Covell ,"24, 54m"
Clockwise,Covell & J ,"25, 55m"
Clockwise,Covell & Pole Line ,"1, 27m"
Clockwise,Covell & Wright ,"2, 27m"
Clockwise,Covell & Alhambra ,"4, 30m"
Clockwise,Covell & Mace ,"5, 31m"
Clockwise,Mace & 2nd ,"6, 32m"
Clockwise,Mace & Chiles ,"8, 33m"
Clockwise,Cowell & Sunrise ,"11, 36m"
Clockwise,Cowell & Ensenada ,"11, 37m"
Clockwise,Cowell & La Vida ,"12, 37m"
Clockwise,Cowell & Ohlone ,"12, 38m"
Clockwise,Drummond & Cowell ,"13, 38m"
Clockwise,Drummond & Lillard ,"14, 40m"
Clockwise,Lillard & Evans Ct ,"15, 40m"
Clockwise,Lillard & Farragut ,"16, 41m"
Clockwise,Pole Line & Cowell ,"16, 42m"
Clockwise,5th & Pole Line ,"17, 43m"
Clockwise,5th & Davis PW Corp Yard ,"19, 45m"
Clockwise,5th Street & L Street ,"20, 45m"
Clockwise,5th & I ,"20, 46m"
Clockwise,5th & D ,"21, 47m"
Clockwise,Russell & A ,"23, 48m"
Clockwise,Memorial Union & Howard ,"24, 49m"
