Direction,Stop,Next Bus
Outbound,Silo & Center Island ,"4, 34m"
Outbound,Hutchison & Ext Center ,"4, 34m"
Outbound,Hutchison & Health Sci ,"7, 37m"
Outbound,Hutchison & Sage ,"7, 37m"
Outbound,West Village Sq & Town Square ,"9, 39m"
Outbound,West Village Sq & Town Square ,"10, 40m"
Inbound,Tilia Loop & West Bike Path ,"12, 42m"
Inbound,Tilia & Celadon ,"12, 42m"
Inbound,West Village Sq & Community College ,"13, 43m"
Inbound,Hutchison & Sage ,"14, 44m"
Inbound,Hutchison & Health Sci Drive ,"15, 45m"
Inbound,Hutchison & Bioletti ,"17, 47m"
Inbound,Silo & Center Island ,"19, 49m"
