Route,Stop
A,Silo & Haring Hall (W)
A,Hutchison & Art Building (E)
A,Hutchison & Old Davis Road (E)
A,2nd & B (E)
A,2nd & E (E)
A,H & Amtrak Station (N)
A,3rd & K (E)
A,L & 4th (N)
A,5th & Pole Line (E)
A,5th & Post Office / Pole Line (E)
A,5th & Cantrill  (E)
A,5th & Cantrill  (E)
A,5th & Pena (E)
A,5th & Spafford (E)
A,5th & Windmere Apts. (E)
A,5th Street & Verona Terrace (E)
A,Alhambra & 5th (E)
A,Alhambra & Arroyo (E)
A,Alhambra & Mace (E)
A,Mace & 2nd (S)
A,Chiles & Mace (E)
A,El Cemonte & Glide (S)
A,Cowell & El Cemonte (W)
A,Cowell & Mace (W)
A,Mace & Cowell (N)
A,Mace & 2nd (N)
A,Alhambra & Mace (W)
A,Alhambra & Atlantis / Arroyo (W)
A,Alhambra & Atlantis / Carcia (W)
A,5th & Verona Terrace (S)
A,5th & Pelz Bike Path (W)
A,5th & Spafford (W)
A,5th & San Rafael (W)
A,5th & Cantrill (W)
A,5th & Post Office / Pole Line (W)
A,5th & Pole Line (W)
A,5th & Davis PW Corp Yard (W)
A,L & 425 (S)
A,3rd & K (W)
A,H Alley & 2nd (S)
A,2nd & E (W)
A,C & 1st (S)
A,Hutchison Drive & Old Davis Road (W)
A,Hutchison & Shields (W)
A,Silo & Haring Hall (W)
B,Memorial Union & East Island (S)
B,Sycamore & University Mall (N)
B,Sycamore & 8th (N)
B,Sycamore & Cornell (N)
B,Sycamore & Bucknell (N)
B,Sycamore & Villanova (N)
B,Sycamore & Radcliffe (N)
B,Radcliffe & Apple (N)
B,Drake & Drake  Apts (W)
B,Sycamore & Drake (S)
B,Sycamore & Notre Dame (S)
B,Sycamore & Colby Dr. (S)
B,Sycamore & Cornell (S)
B,Sycamore & 8th (S)
B,Sycamore & Wake Forest (S)
B,Memorial Union & Howard (N)
D,Silo & Center Island (W)
D,Hutchison & Ext Center (W)
D,Hutchison & Health Sci (W)
D,Russell & Arthur (W)
D,Russell & Arlington Farm (W)
D,Lake & Portage Bay (N)
D,Lake & Salem (N)
D,Lake & Westlake Plaza (N)
D,Arlington & Lake (S)
D,Arlington & Cabot (S)
D,Arlington & Shasta (S)
D,Arlington & Westernesse (S)
D,Arlington & Bucklebury (S)
D,Russell & Arthur (E)
D,Hutchison & Health Sci Drive (E)
D,Hutchison & Bioletti (E)
D,Silo & Center Island (W)
E,Memorial Union & East Island (S)
E,B & 4th  (S)
E,3rd & C (E)
E,3rd & E (E)
E,F & 4th  (N)
E,F & 6th Street  (N)
E,F & 8th (N)
E,F & 12th (N)
E,F & 14th (N)
E,F & Covell (N)
E,J & Menlo (S)
E,J & Drexel (S)
E,J & Alice (S)
E,J & 8th (S)
E,8th & G (W)
E,F & 8th  (S)
E,F & 4th  (S)
E,3rd & E (W)
E,3rd & C (W)
E,B & 4th (N)
E,Memorial Union & Howard (N)
F,Memorial Union & East Island (S)
F,Oak & Russell (N)
F,Oak & 8th (N)
F,Oak & Antioch (N)
F,Oak & 14th Street (N)
F,Oak & Covell (N)
F,Catalina & Alvarado (N)
F,Alvarado & Espana (W)
F,Alvarado & Anderson  (W)
F,Anderson & Bianco (N)
F,Anderson & Valencia (N)
F,Anderson & Oriole (N)
F,Anderson & Sandpiper (E)
F,F Street & Grande (S)
F,F Street & Faro (S)
F,F Street & Bueno (S)
F,F & Covell (S)
F,14th & F (W)
F,14th & B (W)
F,14th & Davis HS (W)
F,Oak & 14th (S)
F,Oak & Antioch (S)
F,Oak & 8th (S)
F,Oak & Russell (S)
F,Memorial Union & Howard (N)
G,Memorial Union & Main Island (S)
G,Anderson & Russell (N)
G,Anderson & Sunset (N)
G,Anderson & Amherst (N)
G,Anderson & Villanova (N)
G,Anderson & Hanover (N)
G,Alvarado & Anderson (W)
G,Alvarado & Sycamore (W)
G,Sycamore & Pepperwood Apts (N)
G,Sycamore & Antelope (N)
G,Sycamore & Chaparral Apts (N)
G,North Sycamore Loop (N)
G,Sycamore & Chaparral Apts (S)
G,Sycamore & Antelope (S)
G,Sycamore & Alvarado (S)
G,Alvarado & Sycamore (E)
