,lg_id,year_min,year_max,years,games,wins,losses,ties,losses_ot,points,points_pct,years_playoffs,years_division_champion,years_conference_champion,years_league_champion,years_cup_champion
Birmingham Bulls,WHA,1972,1979,7,556,242,286,28,,512,.460,4,0,0,0,0
Calgary Cowboys,WHA,1972,1977,5,395,174,207,14,,362,.458,2,0,0,0,0
Chicago Cougars,WHA,1972,1975,3,234,94,132,8,,196,.419,1,0,0,0,0
Cincinnati Stingers,WHA,1975,1979,4,321,142,164,15,,299,.466,2,0,0,0,0
Cleveland Barons,NHL,1967,1978,11,858,229,488,141,,599,.349,2,0,0,0,0
Czechoslovakia,WHA,1977,1979,2,14,2,10,2,,6,.214,0,0,0,0,0
Denver Spurs/Ottawa Civics,WHA,1975,1976,1,41,14,26,1,,29,.354,0,0,0,0,0
Edmonton Oilers,WHA,1972,1979,7,556,259,273,24,,542,.487,5,1,0,0,0
Finland,WHA,1978,1979,1,1,0,1,0,,0,.000,0,0,0,0,0
Hamilton Tigers,NHL,1919,1925,6,150,51,98,1,,103,.343,0,1,0,0,0
Houston Aeros,WHA,1972,1978,6,474,285,170,19,,589,.621,6,4,0,2,0
Indianapolis Racers,WHA,1974,1979,5,344,118,202,24,,260,.378,2,1,0,0,0
Michigan Stags/Baltimore Blades,WHA,1972,1975,3,234,83,141,10,,176,.376,1,0,0,0,0
Minnesota Fighting Saints,WHA,1972,1976,4,293,154,127,12,,320,.546,3,0,0,0,0
Minnesota Fighting Saints,WHA,1972,1977,5,356,169,162,25,,363,.510,4,0,0,0,0
Montreal Maroons,NHL,1924,1938,14,622,271,260,91,,633,.509,11,2,0,2,2
Montreal Wanderers,NHL,1917,1918,1,6,1,5,0,,2,.167,0,0,0,0,0
New England Whalers,WHA,1972,1979,7,555,281,236,38,,600,.541,7,3,0,1,0
New York Americans,NHL,1925,1942,17,784,255,402,127,,637,.406,5,0,0,0,0
Ottawa Senators,NHL,1917,1934,16,542,258,221,63,,579,.534,9,7,0,4,4
Philadelphia Quakers,NHL,1930,1931,1,44,4,36,4,,12,.136,0,0,0,0,0
Phoenix Roadrunners,WHA,1974,1977,3,238,106,114,18,,230,.483,2,0,0,0,0
Pittsburgh Pirates,NHL,1925,1930,5,212,67,122,23,,157,.370,2,0,0,0,0
Quebec Nordiques,WHA,1972,1979,7,556,295,237,24,,614,.552,5,2,0,1,0
San Diego Mariners,WHA,1972,1977,5,395,184,191,20,,388,.491,3,0,0,0,0
Soviet All-Stars,WHA,1977,1979,2,14,7,5,2,,16,.571,0,0,0,0,0
St. Louis Eagles,NHL,1934,1935,1,48,11,31,6,,28,.292,0,0,0,0,0
Winnipeg Jets,WHA,1972,1979,7,555,302,227,26,,630,.568,6,3,0,3,0
