Direction,Stop,Next Bus
Outbound,Silo & Haring Hall ,"6, 36m"
Outbound,Hutchison & Art Building ,"7, 37m"
Outbound,Hutchison & Old Davis Road ,"8, 38m"
Outbound,2nd & B ,"10, 40m"
Outbound,2nd & E ,"12, 42m"
Outbound,H & Amtrak Station ,"14, 44m"
Outbound,3rd & K ,"15, 45m"
Outbound,L & 4th ,"16, 46m"
Outbound,5th & Pole Line ,"18, 48m"
Outbound,5th & Post Office / Pole Line ,"19, 49m"
Outbound,5th & Cantrill  ,"20, 50m"
Outbound,5th & Pena ,"21, 51m"
Outbound,5th & Spafford ,"22, 52m"
Outbound,5th & Windmere Apts. ,"22, 52m"
Outbound,5th Street & Verona Terrace ,"23, 53m"
Outbound,Alhambra & 5th ,"23, 53m"
Outbound,Alhambra & Arroyo ,"24, 54m"
Outbound,Alhambra & Mace ,"25, 55m"
Outbound,Mace & 2nd ,"26, 56m"
Outbound,Chiles & Mace ,"29, 59m"
Inbound,El Cemonte & Glide ,"30, 60m"
Inbound,Cowell & El Cemonte ,"30, 60m"
Inbound,Cowell & Mace ,"0, 31m"
Inbound,Mace & Cowell ,"1, 32m"
Inbound,Mace & 2nd ,"2, 33m"
Inbound,Alhambra & Mace ,"4, 35m"
Inbound,Alhambra & Atlantis / Arroyo ,"4, 35m"
Inbound,Alhambra & Atlantis / Carcia ,"5, 36m"
Inbound,5th & Verona Terrace ,"6, 37m"
Inbound,5th & Pelz Bike Path ,"7, 37m"
Inbound,5th & Spafford ,"7, 38m"
Inbound,5th & San Rafael ,"8, 39m"
Inbound,5th & Cantrill ,"9, 40m"
Inbound,5th & Post Office / Pole Line ,"10, 41m"
Inbound,5th & Pole Line ,"11, 42m"
Inbound,5th & Davis PW Corp Yard ,"12, 42m"
Inbound,L & 425 ,"13, 44m"
Inbound,3rd & K ,"13, 44m"
Inbound,H Alley & 2nd ,"15, 46m"
Inbound,2nd & E ,"16, 47m"
Inbound,C & 1st ,"18, 49m"
Inbound,Hutchison Drive & Old Davis Road ,"20, 50m"
Inbound,Hutchison & Shields ,"21, 52m"
Inbound,Silo & Haring Hall ,"26, 56m"
