Direction,Stop,Next Bus
Outbound,Memorial Union & Main Island ,"8, 38m"
Outbound,Sycamore & University Mall ,"13, 73m"
Outbound,Sycamore & 8th ,"13, 73m"
Outbound,Sycamore & Cornell ,"14, 74m"
Outbound,Sycamore & Bucknell ,"14, 74m"
Outbound,Sycamore & Villanova ,"15, 75m"
Outbound,Sycamore & Radcliffe ,"15, 75m"
Inbound,Radcliffe & Apple ,"16, 76m"
Inbound,Drake & Drake  Apts ,"17, 77m"
Inbound,Sycamore & Drake ,"18, 78m"
Inbound,Sycamore & Notre Dame ,"18, 78m"
Inbound,Sycamore & Colby Dr. ,"19, 79m"
Inbound,Sycamore & Cornell ,"20, 80m"
Inbound,Sycamore & 8th ,"20, 80m"
Inbound,Sycamore & Wake Forest ,"21, 81m"
Inbound,Memorial Union & Howard ,"28, 58m"
