Direction,Stop,Next Bus
Outbound,Silo & Haring Hall ,"8, 18m"
Outbound,Hutchison & Ext Center ,"11, 23m"
Outbound,Hutchison & Health Sci ,"12, 24m"
Outbound,Russell & Arthur ,"0, 14m"
Inbound,Russell & Arlington Farm ,"3, 17m"
Inbound,Lake & Portage Bay ,"4, 18m"
Inbound,Lake & Salem ,"5, 19m"
Inbound,Lake & Westlake Plaza ,"6, 19m"
Inbound,Arlington & Lake ,"7, 21m"
Inbound,Arlington & Cabot ,"7, 21m"
Inbound,Arlington & Shasta ,"8, 22m"
Inbound,Arlington & Westernesse ,"9, 23m"
Inbound,Arlington & Bucklebury ,"9, 23m"
Inbound,Russell & Arthur ,"10, 24m"
Inbound,Hutchison & Health Sci Drive ,"14, 27m"
Inbound,Hutchison & Bioletti ,"1, 16m"
Inbound,Silo & Haring Hall ,"13, 33m"
