Direction,Stop,Next Bus
Inbound/Outbound,Memorial Union & East Island ,"25, 85m"
Inbound/Outbound,Oak & Russell ,m
Inbound/Outbound,Oak & 8th ,m
Inbound/Outbound,Oak & Antioch ,m
Inbound/Outbound,Oak & 14th Street ,m
Inbound/Outbound,Oak & Covell ,m
Inbound/Outbound,Catalina & Alvarado ,m
Inbound/Outbound,Alvarado & Espana ,m
Inbound/Outbound,Alvarado & Anderson  ,m
Inbound/Outbound,Anderson & Bianco ,m
Inbound/Outbound,Anderson & Valencia ,m
Inbound/Outbound,Anderson & Oriole ,m
Inbound/Outbound,Anderson & Sandpiper ,m
Inbound/Outbound,F Street & Grande ,m
Inbound/Outbound,F Street & Faro ,m
Inbound/Outbound,F Street & Bueno ,m
Inbound/Outbound,F & Covell ,m
Inbound/Outbound,14th & F ,m
Inbound/Outbound,14th & B ,m
Inbound/Outbound,14th & Davis HS ,m
Inbound/Outbound,Oak & 14th ,m
Inbound/Outbound,Oak & Antioch ,m
Inbound/Outbound,Oak & 8th ,m
Inbound/Outbound,Oak & Russell ,m
Inbound/Outbound,Memorial Union & Howard ,"49, 109m"
