Direction,Stop,Next Bus
Outbound,Memorial Union & Main Island ,"35, 55m"
Outbound,Anderson & Russell ,"35, 55m"
Outbound,Anderson & Sunset ,"38, 58m"
Outbound,Anderson & Amherst ,"38, 58m"
Outbound,Anderson & Villanova ,"39, 59m"
Outbound,Anderson & Hanover ,"0, 39m"
Outbound,Alvarado & Anderson ,"1, 40m"
Outbound,Alvarado & Sycamore ,"2, 42m"
Outbound,Sycamore & Pepperwood Apts ,"3, 43m"
Outbound,Sycamore & Antelope ,"4, 44m"
Outbound,Sycamore & Chaparral Apts ,"5, 44m"
Inbound,North Sycamore Loop ,"6, 45m"
Inbound,Sycamore & Chaparral Apts ,"6, 45m"
Inbound,Sycamore & Antelope ,"6, 46m"
Inbound,Sycamore & Alvarado ,"7, 46m"
Inbound,Alvarado & Sycamore ,"7, 47m"
Inbound,Alvarado & Anderson ,"8, 48m"
Inbound,Anderson & Hanover ,"9, 48m"
Inbound,Anderson & Villanova ,"11, 50m"
Inbound,Anderson & Amherst ,"11, 51m"
Inbound,Anderson & Sunset ,"12, 51m"
Inbound,Anderson & Russell ,"12, 51m"
Inbound,Memorial Union & Howard ,"13, 53m"
