Direction,Stop,Next Bus
Outbound,Silo & Center Island ,"10, 50m"
Outbound,La Rue & Orchard ,"10, 50m"
Outbound,Anderson & Russell ,"15, 55m"
Outbound,Anderson & Sunset ,"16, 56m"
Outbound,Anderson & Amherst ,"16, 56m"
Outbound,Anderson & Villanova ,"17, 57m"
Outbound,Anderson & Hanover ,"18, 58m"
Outbound,Alvarado & Anderson ,"1, 20m"
Outbound,Alvarado & Sycamore ,"2, 21m"
Outbound,Sycamore & Pepperwood Apts ,"3, 22m"
Outbound,Sycamore & Antelope ,"3, 22m"
Outbound,Sycamore & Chaparral Apts ,"4, 23m"
Inbound,North Sycamore Loop ,"5, 24m"
Inbound,Sycamore & Chaparral Apts ,"5, 24m"
Inbound,Sycamore & Antelope ,"5, 25m"
Inbound,Sycamore & Alvarado ,"6, 25m"
Inbound,Alvarado & Sycamore ,"7, 26m"
Inbound,Alvarado & Anderson ,"8, 27m"
Inbound,Anderson & Hanover ,"10, 29m"
Inbound,Anderson & Villanova ,"10, 30m"
Inbound,Anderson & Amherst ,"11, 30m"
Inbound,Anderson & Sunset ,"12, 31m"
Inbound,Anderson & Russell ,"12, 32m"
Inbound,La Rue & Orchard ,"14, 33m"
Inbound,Hutchison & Bioletti ,"17, 36m"
Inbound,Silo & Center Island ,"17, 36m"
