Direction,Stop,Next Bus
Outbound,Silo & Haring Hall ,"35, 95m"
Outbound,Hutchison & Art Building ,"35, 95m"
Outbound,Hutchison & Old Davis Road ,39m
Outbound,B & 4th ,40m
Outbound,B & 5th ,42m
Outbound,B & 7th ,43m
Outbound,8th & D ,44m
Outbound,8th & G ,44m
Outbound,8th & J ,46m
Outbound,8th & L ,45m
Outbound,8th & Chestnut ,48m
Outbound,Pole Line & 8th ,49m
Outbound,Pole Line & Loyola ,50m
Inbound,Pole Line & Claremont ,52m
Inbound,Pole Line & Picasso ,52m
Inbound,Pole Line & Donner ,53m
Inbound,Moore & Pole Line ,53m
Inbound,Moore & Rockwell ,55m
Inbound,Moore & Raphael ,55m
Inbound,Moore & Pollock ,56m
Inbound,Monarch & Campbell ,57m
Inbound,Temple & Balsam Pl ,59m
Inbound,Tulip & Cascade Pl ,60m
Inbound,Loyola & Regis ,61m
Inbound,Loyola & Nutmeg ,61m
Inbound,Loyola & Whittier ,"0, 62m"
Inbound,Pole Line & Wahl ,"1, 63m"
Inbound,East 8th Street & Pole Line Road ,"1, 63m"
Inbound,8th & Chestnut ,"2, 64m"
Inbound,8th & L ,"3, 65m"
Inbound,8th & J ,"4, 66m"
Inbound,8th & G ,"6, 67m"
Inbound,8th & D ,"6, 68m"
Inbound,B & 7th ,"7, 69m"
Inbound,B & 4th  ,"9, 70m"
Inbound,Hutchison Drive & Old Davis Road ,"10, 72m"
Inbound,Hutchison & Shields ,"13, 74m"
Inbound,Silo & Center Island ,"14, 75m"
