Direction,Stop,Next Bus
Counterclockwise,Memorial Union  & Main Island ,"24, 54m"
Counterclockwise,5th & D ,56m
Counterclockwise,5th & G ,58m
Counterclockwise,5th Street & K Street ,"0, 58m"
Counterclockwise,5th & Pole Line ,"1, 60m"
Counterclockwise,Pole Line & Cowell ,"3, 61m"
Counterclockwise,Lillard & Cowell ,"3, 62m"
Counterclockwise,Lillard & Evans Ct ,"4, 63m"
Counterclockwise,Lillard & Drummond ,"5, 64m"
Counterclockwise,Drummond & Albany ,"6, 64m"
Counterclockwise,Cowell & Drummond ,"7, 65m"
Counterclockwise,Cowell & Ohlone ,"8, 66m"
Counterclockwise,Cowell & La Vida ,"8, 66m"
Counterclockwise,Cowell & Ensenada ,"9, 67m"
Counterclockwise,Cowell & Sunrise Ct ,"9, 68m"
Counterclockwise,Mace & Cowell ,"10, 69m"
Counterclockwise,Mace & 2nd ,"12, 70m"
Counterclockwise,Covell & Wright ,"16, 74m"
Counterclockwise,Covell & Pole Line ,"17, 75m"
Counterclockwise,Covell & J ,"19, 77m"
Counterclockwise,F & Covell ,"21, 79m"
Counterclockwise,14th & F ,"22, 80m"
Counterclockwise,14th & B ,"23, 81m"
Counterclockwise,14th & Davis HS ,"24, 82m"
Counterclockwise,14th & Oak ,"24, 82m"
Counterclockwise,Villanova & Reed ,"25, 83m"
Counterclockwise,Anderson & Villanova ,"25, 83m"
Counterclockwise,Anderson & Hanover ,"26, 84m"
Counterclockwise,Covell & Sycamore ,"28, 87m"
Counterclockwise,Covell & John Jones ,"30, 88m"
Counterclockwise,Covell & Shasta ,"31, 89m"
Counterclockwise,Lake & Covell ,"33, 91m"
Counterclockwise,Lake & Oyster Bay ,"34, 92m"
Counterclockwise,Arlington & Lake ,"35, 93m"
Counterclockwise,Arlington & Cabot ,"35, 94m"
Counterclockwise,Arlington & Shasta ,"36, 94m"
Counterclockwise,Arlington & Westernesse ,"37, 95m"
Counterclockwise,Arlington & Bucklebury ,"37, 96m"
Counterclockwise,Russell & Arthur ,"38, 97m"
Counterclockwise,Russell & Sycamore ,"40, 98m"
Counterclockwise,Memorial Union & Howard ,"14, 44m"
