Direction,Stop,Next Bus
Outbound,Silo & Center Island ,"8, 23m"
Outbound,Hutchison & Ext Center ,"26, 41m"
Outbound,Hutchison & Health Sci ,"27, 42m"
Outbound,Hutchison & Sage ,"28, 43m"
Outbound,West Village Sq & Town Square ,"1, 29m"
Inbound,Tilia Loop & West Bike Path ,"2, 31m"
Inbound,Tilia & Celadon ,"3, 32m"
Inbound,West Village Sq & Community College ,"5, 33m"
Inbound,Hutchison & Sage ,"6, 34m"
Inbound,Hutchison & Health Sci Drive ,"8, 36m"
Inbound,Hutchison & Bioletti ,"1, 11m"
Inbound,Silo & Center Island ,"13, 28m"
