Direction,Stop,Next Bus
Outbound,Silo & Center Island ,"8, 18m"
Outbound,Hutchison & Art Building ,"9, 19m"
Outbound,Hutchison & Old Davis Road ,"10, 20m"
Outbound,1st & C ,"12, 22m"
Outbound,Richards & Olive ,"14, 24m"
Outbound,Cowell & Research Park S ,"16, 26m"
Outbound,Cowell & Drew ,"17, 27m"
Outbound,Cowell & Valdora ,"18, 28m"
Outbound,Lillard & Cowell ,"19, 29m"
Inbound,Lillard & Evans Ct ,"20, 30m"
Inbound,Lillard & Drummond ,"0, 21m"
Inbound,Drummond & Albany ,"1, 21m"
Inbound,Cowell & Halsey ,"3, 23m"
Inbound,Cowell & Valdora ,"5, 25m"
Inbound,Cowell & Drew ,"6, 26m"
Inbound,Cowell & Research Park S ,"6, 27m"
Inbound,Richards & Olive ,"9, 30m"
Inbound,1st & D ,"11, 32m"
Inbound,Hutchison Drive & Old Davis Road ,"13, 33m"
Inbound,Hutchison & Shields ,"14, 35m"
Inbound,Silo & Center Island ,"18, 38m"
