Direction,Stop,Next Bus
Outbound,Memorial Union & East Island ,"4, 64m"
Outbound,B & 4th  ,"4, 64m"
Outbound,2nd & B ,"6, 66m"
Outbound,2nd & E ,"7, 67m"
Outbound,H & Amtrak Station ,"8, 68m"
Outbound,3rd & K ,"10, 70m"
Outbound,L & 4th ,"11, 71m"
Outbound,5th & Pole Line ,"12, 72m"
Outbound,5th & Post Office / Pole Line ,"13, 73m"
Outbound,5th & Cantrill  ,"14, 74m"
Outbound,5th & Pena ,"16, 76m"
Outbound,5th & Spafford ,"16, 76m"
Outbound,5th & Windmere Apts. ,"17, 77m"
Outbound,5th Street & Verona Terrace ,"17, 77m"
Outbound,Alhambra & 5th ,"18, 78m"
Outbound,Alhambra & Arroyo ,"18, 78m"
Outbound,Alhambra & Mace ,"19, 79m"
Outbound,Mace & 2nd ,"21, 81m"
Inbound,2nd St. & Target Drive ,"24, 84m"
Inbound,2nd Street & Cousteau Place ,"24, 84m"
Inbound,Pena  & 2nd St. ,"25, 85m"
Inbound,5th & San Rafael ,"26, 86m"
Inbound,5th & Cantrill ,"27, 87m"
Inbound,5th & Post Office / Pole Line ,"29, 89m"
Inbound,5th & Pole Line ,"29, 89m"
Inbound,5th & Davis PW Corp Yard ,"30, 90m"
Inbound,L & 425 ,"30, 90m"
Inbound,3rd & K ,"30, 90m"
Inbound,H Alley & 2nd ,"32, 92m"
Inbound,2nd & E ,"34, 94m"
Inbound,B & 4th ,"34, 94m"
Inbound,Russell & A ,"37, 97m"
Inbound,Memorial Union & Howard ,"38, 98m"
